"""Westbrook is going to have a legacy similar to Allen Iverson. He's going to be an icon. Westbrook is also the only player ever to lead the NBA in scoring and assists two times. ... You will never win a title with Westbrook as your leading player."" — @Chris_Broussard https://t.co/mBXTC5RbHB",232,49
"""Russell is that good-looking girl that we overlook all the other flaws — she has a terrible personality, she's not really nice to people and she has a bad attitude. What Russ has seduced us with is the triple-double ... we forget how poorly he shot the ball."" — @ShannonSharpe https://t.co/lhrqoLezE5",531,141
"""I'm mystified by it. I thought Jeanie Buss would take all that Laker money and throw it at Sam Presti, R. C. Buford, Masai Ujiri. Instead, they're sticking with the norm. That's a catastrophic mistake."" — @SIChrisMannix https://t.co/VeBa8rPOuT",53,13
"""The question at this point is: is Russell Westbrook a superstar? Every elimination game he's played in since his 3rd year all have 1 thing in common: he shoots a ton of shots at a low percentage. That's how his team's season has ended year after year after year.""— @getnickwright https://t.co/y02wmnsqFP",58,18
"Draft week is HERE.

Check out @joelklatt's latest NFL mock draft ⤵️ https://t.co/0vf8KUBztH",84,15
That time @MiaHamm played goalkeeper at the FIFA Women's World Cup 😂🇺🇸 https://t.co/ApSBukDuSQ,456,83
"RT @MLBONFOX: WELCOME TO THE SHOW!

Cole Tucker's first career MLB hit is a 2-run SHOT to dead center to give the @Pirates the lead! https:…",0,1481
"RT @FS1: Will we finally see LeBron and Anthony Davis team up in LA next season? 

@Chris_Broussard and @jasonrmcintyre break it down: http…",0,7
"RT @PBConFOX: Fight Fans, we're changing things up! Former Champ Danny Garcia takes on Adrian Granados @ 8pm ET on FOX...THEN we continue t…",0,43
"RT @FOXSoccer: 48 days until the FIFA Women's World Cup on FOX!

Moment No. 4️⃣8️⃣: Amandine Henry's wonder strike for France vs Mexico in…",0,30
"""There’s an anti-Rich Paul &amp; anti-LeBron movement within the league and people trying to undermine their ability to have success… When you seize this much power there’s going to be people that try to counteract that."" —@WhitlockJason https://t.co/GFNYyPrlgw",21,5
"""The Mount Rushmore for the Patriots Dynasty is Robert Kraft, Bill Belichick, Tom Brady and Gisele Bundchen. She’s the real MVP. New England should retire her stiletto heels when the Patriots retire Brady’s jersey."" —@WhitlockJason https://t.co/dAZUZf3cZC",40,6
"RT @PBConFOX: “Welcome to the big league, little B****.”  

Chicago vs Philadelphia. Mexico vs Puerto Rico. Don’t miss Garcia vs Granados T…",0,324
"""KD's going to decide this year's NBA championship, and then starting July 1st, he's going to decide next year's NBA championship. That's why I think he's the best player on the planet because his strength of scoring is greater than LeBron's greatest strength."" — @RealSkipBayless https://t.co/qfl3u31mXv",263,57
"""Last night is what the Philadelphia 76ers should look like going forward. Ben Simmons has the ball, no center clogging up the middle and a bunch of JJ Redick, Jimmy Butler and Tobias Harris on the outside. That's the future."" — @ColinCowherd https://t.co/zPwCdaP3bk",196,31
"From committing to USC as a quarterback at 13 years old to preparing for the NFL Draft as a standout WR...

David Sills' (@DS5_) journey is anything but ordinary. https://t.co/mjDjPhdcvq",731,184
"Kevin Durant showed last night why he's the world's best basketball player

@ColinCowherd explains https://t.co/nPMTDO0FdN",226,65
